Sample ID,Date,Chl,Sample_16S
Musk 2m,118-15,5.26,
Musk 2m,118-15,5.42,
Musk 2m,118-15,5.36,
Musk 9m,118-15,5.5,
Musk 9m,118-15,5.44,
Musk 9m,118-15,5.34,
M15 5m,118-15,1.09,
M15 5m,118-15,1.15,
M15 5m,118-15,1.04,
M110 5m,118-15,0.77,
M110 5m,118-15,0.73,
M110 5m,118-15,0.66,
M110 35m,118-15,0.73,
M110 35m,118-15,0.73,
M110 35m,118-15,0.75,
M110 105m,118-15,0.44,
M110 105m,118-15,0.4,
M110 105m,118-15,0.41,
Musk 8m,140-15,3.59,
Musk 8m,140-15,3.45,
Musk 8m,140-15,3.41,
M15 5m,140-15,4.26,
M15 5m,140-15,4.36,
M15 5m,140-15,4.23,
Musk 2m,140-15,4.2,
Musk 2m,140-15,4.22,
Musk 2m,140-15,4.2,
M15 5m,140-15,0.43,
M15 5m,140-15,0.52,
M110 35m,141-15,0.58,
M110 35m,141-15,0.58,
M110 35m,141-15,0.54,
M110 5m,141-15,0.64,
M110 5m,141-15,0.59,
M110 5m,141-15,0.64,
M110 105m,141-15,0.54,
M110 105m,141-15,0.52,
M110 105m,141-15,0.54,
M15 5m,174-15,5.67,
M15 5m,174-15,5.65,
M15 5m,174-15,5.73,
Musk 2m,175-15,13.53,
Musk 2m,175-15,13.43,
Musk 2m,175-15,12.39,
Musk 9m,175-15,5.08,
Musk 9m,175-15,4.95,
Musk 9m,175-15,5.19,
M110 5m,176-15,0.44,
M110 5m,176-15,0.44,
M110 5m,176-15,0.41,
M110 50m,176-15,0.55,
M110 50m,176-15,0.56,
M110 50m,176-15,0.55,
M110 105m,176-15,0.16,
M110 105m,176-15,0.16,
M110 105m,176-15,0.16,
Musk 2m,194-15,18.74,
Musk 2m,194-15,19.02,
Musk 2m,194-15,20.13,
Musk 9m,194-15,3.25,
Musk 9m,194-15,3.21,
Musk 9m,194-15,3.71,
M15 5m,194-15,0.95,
M15 5m,194-15,0.95,
M15 5m,194-15,0.95,
M110 5m,196-15,0.92,
M110 5m,196-15,0.99,
M110 5m,196-15,1.03,
M110 35m,196-15,1.63,
M110 35m,196-15,1.63,
M110 35m,196-15,1.66,
M45 5m,197-15,2.33,
M45 5m,197-15,2.2,
M45 5m,197-15,2.12,
M45 40m,197-15,0.62,
M45 40m,197-15,0.58,
M45 40m,197-15,0.61,
Musk 2m,224-15,22.91,
Musk 2m,224-15,23.23,
Musk 2m,224-15,25.25,
Musk 9m,224-15,22.25,
Musk 9m,224-15,21.04,
Musk 9m,224-15,22.91,
M110 5m,224-15,1.37,
M110 5m,224-15,1.25,
M110 5m,224-15,1.34,
M110 35m,224-15,2.1,
M110 35m,224-15,2.25,
M110 35m,224-15,2.21,
M110 102m,224-15,0.14,
M110 102m,224-15,0.13,
M110 102m,224-15,0.1,
M15 5m,224-15,1.72,
M15 5m,224-15,1.78,
M15 5m,224-15,2.13,
Musk 2m,266-15,25.16,
Musk 2m,266-15,23.88,
Musk 2m,266-15,24.47,
Musk 9m,266-15,7.35,
Musk 9m,266-15,8.18,
Musk 9m,266-15,8.43,
M15 5m,266-15,1.35,
M15 5m,266-15,1.33,
M15 5m,266-15,1.38,
M110 5m,268-15,1.22,
M110 5m,268-15,1.33,
M110 5m,268-15,1.19,
M110 20m,268-15,3.51,
M110 20m,268-15,3.2,
M110 20m,268-15,2.95,
M110 102m,268-15,0.14,
M110 102m,268-15,0.12,
M110 102m,268-15,0.11,
Musk 2m,287-15,7.46,
Musk 2m,287-15,6.54,
Musk 2m,287-15,7.66,
Musk 9m,287-15,6.92,
Musk 9m,287-15,7.46,
Musk 9m,287-15,6.79,
M15 5m,287-15,2.31,
M15 5m,287-15,2.44,
M15 5m,287-15,2.32,
M110 5m,287-15,2.04,
M110 5m,287-15,2.19,
M110 5m,287-15,2.08,
M110 24m,287-15,2.76,
M110 24m,287-15,2.72,
M110 24m,287-15,2.61,
M110 105m,287-15,0.05,
M110 105m,287-15,0.06,
M110 105m,287-15,0.11,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
