"";"D0";"D1";"D2";"sd.D0";"sd.D1";"sd.D2"
"CYCLUS1_BEKKEN_-1_A_SYBR_PRECYCLE";7611,27333333333;1767,55105869807;1040,89301139931;120,215771032499;26,2425208483354;15,492726390804
"CYCLUS1_BEKKEN_-1_B_SYBR_PRECYCLE";8499,81666666667;1904,00417561397;1110,39590698823;95,0625991994457;15,9916228691426;9,43811499053204
"CYCLUS1_BEKKEN_-3_A_SYBR_PRECYCLE";8013,24666666667;1881,91721347926;1142,51862437269;65,3778591488826;8,87721755126801;5,25449666572358
"CYCLUS1_BEKKEN_-3_B_SYBR_PRECYCLE";7829,57666666667;1804,11159785855;1075,50914829761;64,4509290537556;10,4639067707392;6,36916219189833
"CYCLUS1_BEKKEN_-5_B_SYBR_PRECYCLE";8337,14;1854,32728369114;1113,23053180058;140,351880777247;27,8483820245609;17,133848692345
"CYCLUS1_BEKKEN_-7_A_SYBR_PRECYCLE";8397,01333333333;1851,70891001104;1097,6579855686;77,2946314105538;10,675147654129;6,15161650135174
"CYCLUS1_BEKKEN_-7_B_SYBR_PRECYCLE";7932,38;1775,30125075943;1052,83567533034;132,454149786766;27,5668347214676;16,1747128272936
"CYCLUS1_BEKKEN_0_0h_SYBR_START";10229,64;2102,64439890669;1261,35923655208;131,592126622382;21,3485914433789;12,5487503645057
"CYCLUS1_BEKKEN_0_10h_SYBR_START";7183,76333333333;1570,82145973224;915,186873369231;76,8626999686107;16,103332231824;9,35624393780124
"CYCLUS1_BEKKEN_0_2h_SYBR_START";10192,32;2267,60289577321;1444,17647570073;147,951731368088;24,9974316091617;15,5790555248254
"CYCLUS1_BEKKEN_0_4h_SYBR_START";9530,89333333333;2046,66026473099;1248,75494895996;95,3809571189151;15,1054209483187;8,951753951726
"CYCLUS1_BEKKEN_0_6h_SYBR_START";7976,46;1769,8399638784;1042,3313530716;77,3144424273781;15,4888234739962;9,42031923884849
"CYCLUS1_BEKKEN_1_A_SYBR_OPERATION";8503,29666666667;1740,78369848839;1048,80399868093;57,8001317479344;7,81501146619246;4,75390127920547
"CYCLUS1_BEKKEN_1_B_SYBR_OPERATION";7735,09;1607,39096779894;960,759446794032;135,791362006243;27,3867866739362;16,3477432026456
"CYCLUS1_BEKKEN_11_A_SYBR_OPERATION";10965,87;2423,21224954887;1386,41674818019;152,233110832269;26,4850251530787;15,3924275096817
"CYCLUS1_BEKKEN_13_A_SYBR_OPERATION";10780,0566666667;2396,02536269106;1363,30868398171;204,636643160275;39,856610551226;23,0225059369092
"CYCLUS1_BEKKEN_14_A_SYBR_OPERATION";10383,19;2275,05612312302;1284,83063181205;187,742457230413;34,138553363503;19,8631808789909
"CYCLUS1_BEKKEN_15_B_SYBR_OPERATION";9277,01333333333;2017,27062013195;1137,94590966348;109,662710008142;16,0713683744658;8,74209541113274
"CYCLUS1_BEKKEN_16_B_SYBR_OPERATION";8282,85;1769,45208574709;1012,32520733624;157,641379190938;29,6394762825744;16,9265208213739
"CYCLUS1_BEKKEN_17_A_SYBR_OPERATION";7086,91;1521,54397807915;861,361935819426;93,5759900546213;17,8078169365427;10,0390893961355
"CYCLUS1_BEKKEN_18_A_SYBR_OPERATION";6901,18666666667;1446,93769430296;804,688002522153;68,5630808043418;12,2505346561777;6,75681703294582
"CYCLUS1_BEKKEN_19_A_SYBR_OPERATION";6745,25333333333;1483,48016265153;844,996680276598;71,3430021138533;10,1638237556918;5,53317957734316
"CYCLUS1_BEKKEN_19_B_SYBR_OPERATION";6868,84666666667;1521,97546919057;830,060027528875;118,28609964509;27,3208605654537;14,9225498954281
"CYCLUS1_BEKKEN_2_A_SYBR_OPERATION";7753,37333333333;1626,84331216348;987,507970464791;78,3590712068746;14,4077115917971;8,81321893373301
"CYCLUS1_BEKKEN_2_B_SYBR_OPERATION";7771,05333333333;1621,67626355951;988,692594598232;110,656954768366;22,1116716175697;13,5916582592408
"CYCLUS1_BEKKEN_23_A_SYBR_POSTCYCLE";7602,17333333333;1700,88528058583;954,69096628443;112,877844047305;24,3481879046454;13,7769867814485
"CYCLUS1_BEKKEN_24_A_SYBR_POSTCYCLE";7675,15;1695,36138453839;958,178876288218;64,5270298943082;8,45349677245301;4,56138714794507
"CYCLUS1_BEKKEN_25_A_SYBR_POSTCYCLE";7671,69;1688,87384091776;933,502611275313;89,7750186469708;17,6493187228871;10,2477635661523
"CYCLUS1_BEKKEN_26_A_SYBR_POSTCYCLE";7638,60333333333;1705,83544446754;955,273636508165;98,9832580590376;18,3044033807117;10,1757822576438
"CYCLUS1_BEKKEN_3_A_SYBR_OPERATION";7702,24666666667;1595,93703135397;971,129391305426;50,4191582154196;6,26920181695672;3,62930087494454
"CYCLUS1_BEKKEN_3_B_SYBR_OPERATION";7442,02666666667;1593,12769742154;973,424284232425;49,4964062453114;5,43572108241683;3,12557732265151
"CYCLUS1_BEKKEN_4_A_SYBR_OPERATION";8285,93;1731,33547298297;1047,51557509361;153,215300017236;31,1044502609326;18,8683115257687
"CYCLUS1_BEKKEN_4_B_SYBR_OPERATION";9339,31333333333;1980,60833795493;1229,85088013382;104,536454421557;18,4355699610401;11,4046052773549
"CYCLUS1_BEKKEN_5_A_SYBR_OPERATION";9015,76;1953,59025937245;1160,59622635777;98,0708508401543;16,8721896281574;9,86256030434174
"CYCLUS1_BEKKEN_6_A_SYBR_OPERATION";9538,9;2141,78367263835;1215,16762254037;146,542881571127;28,503457662194;15,9607655266891
"CYCLUS1_BEKKEN_8_A_SYBR_OPERATION";9628,62666666667;2172,87455940847;1208,50764686439;108,739936154695;16,1554812096007;8,4105752210377
"CYCLUS2_BEKKEN_-1_B_SYBR_PRECYCLE";10152,99;2282,90400887102;1323,58230392932;113,171343481509;13,9975444478358;8,51792173201616
"CYCLUS2_BEKKEN_-4_B_SYBR_PRECYCLE";9387,68;2142,4223081729;1251,07437616205;99,2687794444486;12,0576484846856;7,20571934928916
"CYCLUS2_BEKKEN_-6_B_SYBR_PRECYCLE";9772,29666666667;2193,59790661542;1244,73417882323;122,466423397224;19,5303453896281;11,4588052028285
"CYCLUS2_BEKKEN_-7_B_SYBR_PRECYCLE";9991,03;2254,11360204276;1267,03681931082;102,979157284456;12,89942457689;7,5494199699989
"CYCLUS2_BEKKEN_0_0h_SYBR_START";10963,9;2489,25826024071;1437,58043914024;199,994133303405;39,691757145268;23,6317957771101
"CYCLUS2_BEKKEN_0_10h_SYBR_START";9911,04333333333;2170,29130822119;1243,99726905857;101,813580388449;13,9394879765194;8,22338792206876
"CYCLUS2_BEKKEN_0_12h_SYBR_START";9106,26333333333;2017,90280836081;1132,84855950369;90,8803415876785;12,8894226722435;7,01544774762192
"CYCLUS2_BEKKEN_0_14h_SYBR_START";9379,74;2009,53210512275;1133,52146759011;129,954923549984;23,9163326251101;13,2003657996517
"CYCLUS2_BEKKEN_0_2h_SYBR_START";12045,0566666667;2723,19308423194;1627,30493636315;148,754577252761;25,0756260539523;14,813905629232
"CYCLUS2_BEKKEN_0_4h_SYBR_START";12035,0033333333;2886,55084917652;1795,50633276742;217,370515890383;43,3326705086901;26,4077648652995
"CYCLUS2_BEKKEN_0_6h_SYBR_START";11644,6733333333;2659,26643230492;1586,01235424308;116,400494636042;11,9181880585354;7,41422449557666
"CYCLUS2_BEKKEN_0_8h_SYBR_START";10816,9033333333;2332,53143955176;1364,13052909583;150,24918512882;24,9754884914198;14,5033649235947
"CYCLUS2_BEKKEN_1_A_SYBR_OPERATION";8330,4;1742,56333847514;979,259665362943;95,1580753491403;17,3222875874811;9,81691680809337
"CYCLUS2_BEKKEN_1_C_SYBR_OPERATION";8356,93333333333;1728,14592198125;978,070875986594;77,8210415026757;13,0646138460359;7,47719351796595
"CYCLUS2_BEKKEN_11_A_SYBR_OPERATION";6957,81666666667;1550,15343775224;846,723062044529;93,0413716915233;17,3954828327448;9,65701203852558
"CYCLUS2_BEKKEN_12_A_SYBR_OPERATION";7098,98;1581,66834004318;864,198775643117;119,739737498674;23,918565499131;13,4204884914714
"CYCLUS2_BEKKEN_14_A_SYBR_OPERATION";7279,38333333333;1634,42221892071;886,881547995822;97,3749151873526;14,6487933040191;7,83359981300836
"CYCLUS2_BEKKEN_16_A_SYBR_OPERATION";8002,73333333333;1729,30679281597;973,393176108046;205,719466343786;40,3990720706873;23,2300959627211
"CYCLUS2_BEKKEN_16_B_SYBR_OPERATION";7064,78333333333;1544,10558444063;863,062814805715;95,7121239624357;14,7709723468852;8,28160328583144
"CYCLUS2_BEKKEN_17_B_SYBR_OPERATION";6605,03666666667;1465,52033549511;833,323211616325;105,990865233316;19,6474014084049;11,1619677675636
"CYCLUS2_BEKKEN_19_A_SYBR_OPERATION";7038,63666666667;1561,2507142844;881,825351389303;68,4637804741497;6,3357598688454;3,21600648793623
"CYCLUS2_BEKKEN_2_B_SYBR_OPERATION";7936,63333333333;1654,67798191615;927,064202448721;120,030405612932;22,5466786793976;12,9026341637992
"CYCLUS2_BEKKEN_20_B_SYBR_OPERATION";6592,63;1504,74272975843;852,73655098705;83,1225030679049;13,8195224639444;7,85892604730249
"CYCLUS2_BEKKEN_22_A_SYBR_OPERATION";7320,5;1649,44345141292;907,510191201546;125,678765236715;23,2987335887215;13,0445456529334
"CYCLUS2_BEKKEN_23_A_SYBR_OPERATION";7121,77333333333;1571,51855712142;860,849084637109;79,5520397338352;11,2256771302493;6,42809811031362
"CYCLUS2_BEKKEN_24_B_SYBR_OPERATION";7082,61333333333;1597,53784577381;866,867307098157;164,413635866404;36,4521445494302;20,3598264537566
"CYCLUS2_BEKKEN_26_A_SYBR_OPERATION";8626,06;1984,27284676339;1095,96317339237;111,690618969907;17,2896295623794;9,88150140527235
"CYCLUS2_BEKKEN_27_B_SYBR_OPERATION";8727,66;1991,56106299919;1082,04730672801;99,529857230678;14,6800367571407;8,40054283637946
"CYCLUS2_BEKKEN_28_10h_SYBR_SHUTDOWN";7978,49;1850,29050692881;1022,13822076408;157,486793239603;32,1214148395664;18,4031578683401
"CYCLUS2_BEKKEN_29_B_SYBR_POSTCYCLE";8125,62666666667;1862,14076268465;1035,57627001759;74,9947971259313;9,63770343602082;5,40549884318734
"CYCLUS2_BEKKEN_3_B_SYBR_OPERATION";8184,62666666667;1764,00472774971;990,550762922112;125,428425223697;24,9070493168017;14,0289016050547
"CYCLUS2_BEKKEN_30_B_SYBR_POSTCYCLE";8207,31333333333;1872,08683174378;1019,83280606979;85,3673683967177;11,4523253724032;6,31139622299696
"CYCLUS2_BEKKEN_31_A_SYBR_POSTCYCLE";8101,25333333333;1829,00416406943;992,780497216942;83,422316532346;13,7446788429777;7,49027634409792
"CYCLUS2_BEKKEN_34_B_SYBR_POSTCYCLE";7668,83333333333;1751,09334820141;947,06813864089;106,325445281239;19,7011609510335;11,1775953233691
"CYCLUS2_BEKKEN_35_A_SYBR_POSTCYCLE";7718,58;1753,50268937858;959,632446227927;200,118065207633;42,0310727092873;24,154031223011
"CYCLUS2_BEKKEN_4_A_SYBR_OPERATION";8331,58666666667;1782,58878002502;995,988941300147;79,8617474019446;10,6414756021981;5,76184230536133
"CYCLUS2_BEKKEN_4_B_SYBR_OPERATION";7985,97333333333;1727,73940740246;952,362701832782;135,12580454062;25,682874123799;14,5806107125751
"CYCLUS2_BEKKEN_5_A_SYBR_OPERATION";8497,73;1817,12523807055;994,673150022195;91,4265798055986;15,2409412020343;8,35301285385099
"CYCLUS2_BEKKEN_6_A_SYBR_OPERATION";9515,38333333333;2104,57839971917;1147,91817033866;140,910494830267;28,8070300981752;16,2077631273496
"CYCLUS2_BEKKEN_7_A_SYBR_OPERATION";9842,95333333333;2347,04633826037;1309,05583782888;91,9026585752483;10,674623179276;6,24276215962867
"CYCLUS2_BEKKEN_9_A_SYBR_OPERATION";9119,94;2121,63119242722;1178,58217135304;122,192598338297;21,3231177944796;11,9489953373502
